web-scraper-order,web-scraper-start-url,beauty-wrapper,beauty-wrapper-href,review-text,name,brand,keyword,community-review-text
"1588398389-7372","https://www.beautypedia.com/makeup/face/foundation-without-sunscreen-reviews/?size=96&makeup_group[0]=foundation-without-sunscreen-reviews&p=2","4-in-1 Pressed Mineral Makeup SPF 15","https://www.beautypedia.com/products/4-in-1-pressed-mineral-makeup-spf-15/?archive_search=%2Fmakeup%2Fface%2Ffoundation-without-sunscreen-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Dfoundation-without-sunscreen-reviews%26p%3D2","","4-in-1 Pressed Mineral Makeup SPF 15","Pürminerals","love love love","I love this foundation so much. It has great coverage. I also ADORE their mineral glow. It's a perfect bronzer/highlighter combination. Loving it."
"1588399167-7710","https://www.beautypedia.com/makeup/face/foundation-without-sunscreen-reviews/?size=96&makeup_group[0]=foundation-without-sunscreen-reviews&p=2","Radiant Cream Compact Foundation","https://www.beautypedia.com/products/radiant-cream-compact-foundation/?archive_search=%2Fmakeup%2Fface%2Ffoundation-without-sunscreen-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Dfoundation-without-sunscreen-reviews%26p%3D2","","Radiant Cream Compact Foundation","NARS","Liked it.","I liked how my skin looked. I have good luck with foundation lasting all day. I don't think I will wear this one all day, though.I paired it with orgasm multiple. Nice subtle blush."
"1588396851-7103","https://www.beautypedia.com/makeup/face/foundation-without-sunscreen-reviews/?size=96&makeup_group[0]=foundation-without-sunscreen-reviews&p=2","Superbalanced Makeup","https://www.beautypedia.com/products/superbalanced-makeup/?archive_search=%2Fmakeup%2Fface%2Ffoundation-without-sunscreen-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Dfoundation-without-sunscreen-reviews%26p%3D2","","Superbalanced Makeup","Clinique","Why is it still on the market?","I am a huge fan of Clinique's foundations, especially the newer ones with SPF. This one is so sub par that I really do not understand why it is still on the market. It is truly a weird and dated formula that probably worked OK 20+ years ago, but does not really compare to today's foundations, even from a drug store. It has a weird texture that kind of rolls throughout the day in a weird way. It is supposed to be moisturizing or oil controlling depending on the area of the face, well for me, it does neither. I suppose Clinique is still making it because people are buying it. If you are a fan of it for some reason I would strongly encourage you to try Even Better foundation instead!"
"1588399254-7753","https://www.beautypedia.com/makeup/face/foundation-without-sunscreen-reviews/?size=96&makeup_group[0]=foundation-without-sunscreen-reviews&p=2","Luminous Moisturizing Treatment Foundation","https://www.beautypedia.com/products/luminous-moisturizing-treatment-foundation/?archive_search=%2Fmakeup%2Fface%2Ffoundation-without-sunscreen-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Dfoundation-without-sunscreen-reviews%26p%3D2","This Nordstrom-Exclusive foundation has replaced Bobby Brown's original Luminous Moisturizing Foundation (rated GOOD). Unfortunately, the reformulation includes lavender oil, which prevents us from giving this foundation a higher rating.Although lavender oil is often touted for its calming properties (and indeed, inhaling the scent can be therapeutic), as a skin-care ingredient it's a problem. Even small amounts of lavender oil (0.25% or less) can be problematic because lavender leaves contain camphor, a known skin irritant. Because the fragrance constituents in lavender oil oxidize when exposed to air, lavender oil is a pro-oxidant. This enhanced oxidation also increases its irritancy on the skin (Source: Contact Dermatitis, September 2008, pages 143–150).If lavender oil weren't such a problematic ingredient, we'd rate this foundation better based on its fabulously lightweight yet moisturizing texture that blends easily and sets to an attractive, dewy finish. Although the shades do tend to run slightly warm (yellow to golden peach and copper), there are still workable options for very light to deep skin tones.			
			
							
					Pros:
					
													Lightweight texture.
													Hydrating formula for dry skin.
													Attractive dewy finish.
													Workable shades for very light to deep skin tones.
											
				
			
							
					Cons:
					
													Includes lavender oil, which is very problematic for skin.
													Entire shade range is warmer than what Brown's foundations typically offer.","Luminous Moisturizing Treatment Foundation","Bobbi Brown","",""
"1588398315-7339","https://www.beautypedia.com/makeup/face/foundation-without-sunscreen-reviews/?size=96&makeup_group[0]=foundation-without-sunscreen-reviews&p=2","Intuitive Blend Shade Adjusting Foundation + Primer","https://www.beautypedia.com/products/intuitive-blend-shade-adjusting-foundation-primer/?archive_search=%2Fmakeup%2Fface%2Ffoundation-without-sunscreen-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Dfoundation-without-sunscreen-reviews%26p%3D2","","Intuitive Blend Shade Adjusting Foundation + Primer","Wet 'n Wild","worst foundation ever","This is quite possibly the worst foundation I have ever used. It comes out looking like cloudy milk with strange balls in it. Like mini moth balls. After I rub it into my face, it changes into a streaky skin color. You have to rub these mini-balls repeatedly for them to burst with color. I don't know what kind of woman has time for this. It's such an awful product I'm embarrassed to even write this review. Should have checked this site first. WnW has some good stuff but this is a fail!"
"1588398567-7435","https://www.beautypedia.com/makeup/face/foundation-without-sunscreen-reviews/?size=96&makeup_group[0]=foundation-without-sunscreen-reviews&p=2","ColorStay Whipped Crème Makeup","https://www.beautypedia.com/products/colorstay-whipped-crme-makeup/?archive_search=%2Fmakeup%2Fface%2Ffoundation-without-sunscreen-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Dfoundation-without-sunscreen-reviews%26p%3D2","","ColorStay Whipped Crème Makeup","Revlon","My go-to foundation","This is my go-to everyday foundation. In conjunction with my now-three year Paula's Choice skincare regimen, I regularly get compliments on my skin and makeup. Recently, someone asked, ""What kind of makeup do you use?"" while her friend piped in with, ""Is it the makeup or the skin?"" This foundation is buildable for light-to-full coverage, depending on your preference. It seems to have enough pigment so that you really don't have to use a lot, which is good because if you use a heavy hand, it does have a tendency to cake. I prefer my fingertips, using the warmth of my hands to help it melt in. I go back over with a foundation brush to smooth the jawline and around eyes."
"1588398751-7484","https://www.beautypedia.com/makeup/face/foundation-without-sunscreen-reviews/?size=96&makeup_group[0]=foundation-without-sunscreen-reviews&p=2","Lock-it Tattoo Foundation","https://www.beautypedia.com/products/lock-it-tattoo-foundation/?archive_search=%2Fmakeup%2Fface%2Ffoundation-without-sunscreen-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Dfoundation-without-sunscreen-reviews%26p%3D2","","Lock-it Tattoo Foundation","Kat Von D","My new favorite","I love this foundation. I had watched some youtube videos prior to applying and knew in advance that a little goes a long way. Also knew to use a good blending brush and not a sponge to work it in best."
"1588396904-7159","https://www.beautypedia.com/makeup/face/foundation-without-sunscreen-reviews/?size=96&makeup_group[0]=foundation-without-sunscreen-reviews&p=2","Even Skin Foundation","https://www.beautypedia.com/products/even-skin-foundation/?archive_search=%2Fmakeup%2Fface%2Ffoundation-without-sunscreen-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Dfoundation-without-sunscreen-reviews%26p%3D2","","Even Skin Foundation","Trish McEvoy","Great foundation for mature women","This is the only foundation that does not show my dry flaky skin around my nose. I have tried many many foundations and this one is the best.  It's lightweight but still covers my redness on my cheeks."
"1588399333-7784","https://www.beautypedia.com/makeup/face/foundation-without-sunscreen-reviews/?size=96&makeup_group[0]=foundation-without-sunscreen-reviews&p=2","Studio HD Mattifying Cream Foundation","https://www.beautypedia.com/products/studio-hd-mattifying-cream-foundation/?archive_search=%2Fmakeup%2Fface%2Ffoundation-without-sunscreen-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Dfoundation-without-sunscreen-reviews%26p%3D2","","Studio HD Mattifying Cream Foundation","e.l.f. Cosmetics","Very good cream foundation for the money","I prefer a cream foundation because I have lupus and like the ability to build up coverage over affected areas, which can range from red to bright purple, with no problem. At $6.00, this can't be beat. I was able to completely cover problem areas. The shade range is limited at this time, and if you have scaly patches, it just looks funky, so exfoliate and moisturize first! It does not turn to a true matte finish, which I like, since on aging skin that can look harsh."
"1588399315-7766","https://www.beautypedia.com/makeup/face/foundation-without-sunscreen-reviews/?size=96&makeup_group[0]=foundation-without-sunscreen-reviews&p=2","Fit Me! Shine-Free Foundation","https://www.beautypedia.com/products/fit-me-shine-free-foundation/?archive_search=%2Fmakeup%2Fface%2Ffoundation-without-sunscreen-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Dfoundation-without-sunscreen-reviews%26p%3D2","","Fit Me! Shine-Free Foundation","Maybelline New York","Bad","I have very pale, acne-prone skin and this thing just doesn't work.It's way too greasy and it doesn't last at all. It just spreads all over your face. I just can't stand the texture."
