web-scraper-order,web-scraper-start-url,category-link,category-link-href,sub-category,sub-category-href,product-links,product-links-href,brand,concealer-category,concealer-category-href,name,next-page,next-page-href,reviews-text,top-positive-review,stars,review-keyword,top-negative-review
"1588348108-5134","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Concealer","https://www.ulta.com/concealer?productId=xlsImpprod18311001","Burt's Bees","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Concealer","Next
Page","https://www.ulta.com/makeup-face-concealer?N=26y6&No=96&Nrpp=96","","I have a love hate relationship with most concealers. The ones that provide the best coverage end up cooking crepey or cakey and the ones that provide sheer coverage don't do my eyes justice when it comes to fading dark spots and making bags less noticeable. That is not the case with Burt's Bee's co...","","",""
"1588348769-5938","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Travel Size Shape Tape Glow Wand","https://www.ulta.com/travel-size-shape-tape-glow-wand?productId=pimprod2012614","Tarte","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Travel Size Shape Tape Glow Wand","","","I thought I would love this product, but sadly I do not. When I used over my tarte concealer, it brightened at first, but then creased in the fine lines and actually enhanced my dark circles. It totally took away the benefits of the concealer.","","2","Not impressed",""
"1588347954-5022","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Shake & Bake","https://www.ulta.com/shake-bake?productId=xlsImpprod17731271","PÜR","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Shake & Bake","Next
Page","https://www.ulta.com/makeup-face-concealer?N=26y6&No=96&Nrpp=96","","","","","Unique but worthless"
"1588348535-5659","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","3C Conceal Correct Contour Palette","https://www.ulta.com/3c-conceal-correct-contour-palette?productId=xlsImpprod11861071","NYX Professional Makeup","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","3C Conceal Correct Contour Palette","","","First off, I have light skin; I don't have the lightest skin, but still super pale. I love NYX's other color corrector palette, but this was not up to the same standard. The product is not as creamy as the other palette. The highlighter and contour shades are so close to my natural skin color that it barely shows up on my skin. The one color that is visible is the darkest shade, and it's TOO dark. The contour shade on the other color corrector palette is way better. That said, it works for a no makeup look when contouring the eyes in addition to using the other palette. I'm going to use it till I run out, but I'm not sure I'll buy it again.","","3","Workable, Not Great",""
"1588348811-5995","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Can't Stop Won't Stop Concealer","https://www.ulta.com/cant-stop-wont-stop-concealer?productId=pimprod2001745","NYX Professional Makeup","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Can't Stop Won't Stop Concealer","","","I love this product!!! Definitely my go to concealer!!! I have brought numerous concealers... down from the cheapest all the way to the most expensive and hands down Nyx's Cant stop wont stop have been my top 5!!! My skins is a combination of both!!! And Im a heavy sweater so this dry concealer actually works well with!! And Ive notice over time it starts to look better and better... I would say use a good Moisturizer like moisturizer like Ponds... and prime so it wont feel as dry!!!! But I do recommend this concealer..","","5","Top Five go to Concealers",""
"1588349285-6346","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Stay Naked Correcting Concealer","https://www.ulta.com/stay-naked-correcting-concealer?productId=pimprod2007470","Urban Decay Cosmetics","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Stay Naked Correcting Concealer","","","ok, so i never leave reviews but i just had to come on here and leave one for this concealer. it blows shape tape out of the water! it is so much more hydrating than shape tape and has the exact same coverage! it doesn't get pastey like shape tape. it goes on so smooth and flawlessly! i just wish it had a better color range","","5","Great Coverage & Hydrating",""
"1588348263-5313","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","CG Smoothers Concealer","https://www.ulta.com/cg-smoothers-concealer?productId=xlsImpprod2730183","CoverGirl","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","CG Smoothers Concealer","Next
Page","https://www.ulta.com/makeup-face-concealer?N=26y6&No=96&Nrpp=96","","","","","This concealer does not seem to work well on darker skin tones. It has more of a reddish undertone. After a few hours of wearing this, skin tends to look ashy and unrealistic."
"1588348076-5096","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Colour Clique Colour Correcting Palette","https://www.ulta.com/colour-clique-colour-correcting-palette?productId=xlsImpprod16241034","Lottie London","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Colour Clique Colour Correcting Palette","Next
Page","https://www.ulta.com/makeup-face-concealer?N=26y6&No=96&Nrpp=96","This was one of the best color corrector, actually i was about to buy a mac one but i give a try and wow the burnt orange covered my under eye darkness and easy to blend, not settled in my lines. Great for medium tan to dark skin.","","5","Great for dark circle",""
"1588348738-5897","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Eyelift In A Tube","https://www.ulta.com/eyelift-in-a-tube?productId=xlsImpprod6420040","It Cosmetics","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Eyelift In A Tube","","","Great, two in one !","","5","Great product",""
"1588347964-5033","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Studio Pro Total Coverage Concealer","https://www.ulta.com/studio-pro-total-coverage-concealer?productId=xlsImpprod17721267","BH Cosmetics","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Studio Pro Total Coverage Concealer","Next
Page","https://www.ulta.com/makeup-face-concealer?N=26y6&No=96&Nrpp=96","Great coverage for the price. I use it sometimes as foundation and it looks so natural while still hiding my imperfections.","","5","Great Concealer",""
