web-scraper-order,web-scraper-start-url,category-link,category-link-href,sub-category,sub-category-href,product-links,product-links-href,brand,foundation-category,foundation-category-href,name,next-page,next-page-href,reviews-text,top-positive-review,stars,review-keyword,top-negative-review
"1588345837-3286","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Clay Stick Foundation","https://www.ulta.com/clay-stick-foundation?productId=xlsImpprod16321378","Tarte","Foundation (192)","https://www.ulta.com/makeup-face-foundation?N=26y5","Clay Stick Foundation","Next
Page","https://www.ulta.com/makeup-face-foundation?N=26y5&No=96&Nrpp=96","","Amazing foundation","","",""
"1588346142-3639","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Double Wear Maximum Cover Camouflage Makeup for Face and Body SPF 15","https://www.ulta.com/double-wear-maximum-cover-camouflage-makeup-face-body-spf-15?productId=xlsImpprod16501415","Estée Lauder","Foundation (192)","https://www.ulta.com/makeup-face-foundation?N=26y5","Double Wear Maximum Cover Camouflage Makeup for Face and Body SPF 15","","","","","","","Loved the coverage on this but after the second time wearing it I got a huge cystic pimple. I looked at the ingredients and it has petroleum and 2 different oils. I think if you have mature skin that doesn't break out easily you might like this. Also the color selection is pretty lacking. I got the ..."
"1588345370-2854","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Hello Happy Flawless Brightening Foundation Mini","https://www.ulta.com/hello-happy-flawless-brightening-foundation-mini?productId=pimprod2007276","Benefit Cosmetics","Foundation (192)","https://www.ulta.com/makeup-face-foundation?N=26y5","Hello Happy Flawless Brightening Foundation Mini","Next
Page","https://www.ulta.com/makeup-face-foundation?N=26y5&No=96&Nrpp=96","I was concerned because I had previously used petal or champagne depending on the time of year....#4 worked out perfectly!  I feel confident enough to buy full size next time.","","5","I was sceptical at first...",""
"1588347161-4779","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Studio Fix Fluid SPF 15 Foundation","https://www.ulta.com/studio-fix-fluid-spf-15-foundation?productId=xlsImpprod15921238","MAC","Foundation (192)","https://www.ulta.com/makeup-face-foundation?N=26y5","Studio Fix Fluid SPF 15 Foundation","","","Personally I I like this foundation shade NC35  I have Been using for years it has never let me down lasts on me and has never broken me out this is definitely one of my favorite foundations","","5","❤️",""
"1588346189-3691","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Fast Base Stick Foundation","https://www.ulta.com/fast-base-stick-foundation?productId=xlsImpprod18241087","Makeup Revolution","Foundation (192)","https://www.ulta.com/makeup-face-foundation?N=26y5","Fast Base Stick Foundation","","","I bought this over a year ago and HATED IT. Recently, I tried a new tactic I used my wet morphe sponge sprayed it with the ABH dewy setting spray and then blended the foundation out in sections. I have never had a foundation look so beautiful and natural on my skin before while covering all my insecurities. ABSOLUTLEY LOVE IT!!! I have combo skin btw","","5","Amazing!!!!",""
"1588346537-4044","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Beyond Perfecting Powder Foundation + Concealer","https://www.ulta.com/beyond-perfecting-powder-foundation-concealer?productId=xlsImpprod12991071","Clinique","Foundation (192)","https://www.ulta.com/makeup-face-foundation?N=26y5","Beyond Perfecting Powder Foundation + Concealer","","","","","","","I really wanted to like this."
"1588346782-4332","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Stay Matte Oil-Free Makeup","https://www.ulta.com/stay-matte-oil-free-makeup?productId=xlsImpprod10791929","Clinique","Foundation (192)","https://www.ulta.com/makeup-face-foundation?N=26y5","Stay Matte Oil-Free Makeup","","","I use this foundation to help cover dark spots and even out the color under my eyes.","","5","This is my third purchase of this foundation.",""
"1588346492-3976","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Hello Happy Flawless Brightening Foundation","https://www.ulta.com/hello-happy-flawless-brightening-foundation?productId=pimprod2007275","Benefit Cosmetics","Foundation (192)","https://www.ulta.com/makeup-face-foundation?N=26y5","Hello Happy Flawless Brightening Foundation","","","This foundation is absolute garbage.  Not to be rude. Physicians formula discontinued healthy skin formula and ruined my life. So I decided to try this and I've had it on for 3 hours. It's already gone where my sunglasses were. I've never had issues with my foundation coming off.  It looks dry, cracked, creased and patchy. I will be returning this. Not pleased at all. Absolute trash formula. Only positive was a little bit of brightening.","","1","Absolute trash.",""
"1588345381-2871","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Perfectionist Youth-Infusing Serum Makeup SPF 25","https://www.ulta.com/perfectionist-youth-infusing-serum-makeup-spf-25?productId=prod14681014","Estée Lauder","Foundation (192)","https://www.ulta.com/makeup-face-foundation?N=26y5","Perfectionist Youth-Infusing Serum Makeup SPF 25","Next
Page","https://www.ulta.com/makeup-face-foundation?N=26y5&No=96&Nrpp=96","This is for my mom and she has used it at least 40+ years","","5","I would buy this again",""
"1588346053-3530","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Pure Flesh Liquid Foundation","https://www.ulta.com/pure-flesh-liquid-foundation?productId=pimprod2007760","Flesh","Foundation (192)","https://www.ulta.com/makeup-face-foundation?N=26y5","Pure Flesh Liquid Foundation","","","A beautiful sheer lightweight formula. I have dry/combo skin and this foundation is the perfect natural satin finish. It truly feels like my skin and blends in so prettily and it doesn't melt off in the heat.  It honestly makes me feel like I have model skin.","","5","Stunning!",""
